start,end,type
12302,19446,1
12302,19447,1
12302,19448,1
12303,19449,1
12304,19429,1
12304,19430,1
12304,19450,1
12304,19431,1
12304,19451,1
12304,19432,1
12304,19452,1
12304,19453,1
12304,19434,1
12304,19435,1
12307,19454,1
12307,19455,1
12307,19456,1
12307,19457,1
12307,12200,1
12307,12201,1
12307,12202,1
12307,12203,1
12307,12204,1
12307,12205,1
12308,12206,1
12308,12207,1
12308,12208,1
12308,12209,1
12308,12210,1
12308,12211,1
19324,12212,1
19322,12213,1
19322,12214,1
19322,12215,1
7245,198,4
7245,76,4
7245,183,4
7245,118,4
7245,141,4
7245,109,4
7245,216,4
7245,72,4
7245,19,4
7245,41,4
7005,93,4
7004,62,4
7004,49,4
7004,123,4
7004,113,4
7004,4,4
7004,200,4
7246,115,4
7246,129,4
7246,132,4
7246,46,4
7246,79,4
7246,78,4
7247,24,4
7247,171,4
7249,60,4
7249,3,4
7249,84,4
7212,170,4
7212,10,4
7212,104,4
7250,164,4
7250,136,4
7251,106,4
7251,154,4
7251,165,4
7251,121,4
7251,182,4
7251,48,4
7251,184,4
7252,35,4
7252,53,4
7252,163,4
7252,52,4
7252,185,4
7252,73,4
7252,172,4
7252,90,4
7253,21,4
7253,54,4
7253,176,4
7253,152,4
7253,100,4
7253,159,4
7254,128,4
7255,56,4
7256,117,4
7256,180,4
7256,201,4
7256,204,4
7256,67,4
7256,134,4
7257,86,4
7257,31,4
7257,174,4
7257,68,4
7257,32,4
7257,70,4
7258,146,4
7258,105,4
7258,50,4
7258,177,4
7259,186,4
7259,191,4
7259,205,4
7259,30,4
7259,126,4
7259,166,4
7259,199,4
7259,11,4
7259,202,4
7259,130,4
7260,89,4
7260,116,4
7261,208,4
7261,61,4
7261,88,4
7261,55,4
7262,213,4
7262,181,4
7262,139,4
7262,23,4
7262,101,4
7262,148,4
7262,0,4
7262,209,4
7262,156,4
7262,137,4
7263,215,4
7263,87,4
7055,102,4
7055,94,4
7055,151,4
7245,12216,5
7245,12217,5
7245,12218,5
7245,12219,5
7005,12220,5
7005,12221,5
7247,12222,5
7249,12223,5
7249,12224,5
7212,19324,5
7212,12212,5
7251,12225,5
7251,12226,5
7251,12227,5
7251,12228,5
7251,12229,5
7251,12230,5
7251,12231,5
7251,12232,5
7252,12233,5
7252,12234,5
7252,12235,5
7252,12236,5
7253,12237,5
7253,12238,5
7253,12239,5
7254,12240,5
7255,12240,5
7256,12241,5
7257,12242,5
7258,12243,5
7259,12244,5
7259,12245,5
7259,12246,5
7259,12247,5
7259,12248,5
7259,12249,5
7259,12250,5
7259,12251,5
7259,12252,5
7259,12253,5
7260,12245,5
7260,12246,5
7260,12247,5
7260,12249,5
7260,12251,5
7260,12254,5
7260,12255,5
7260,12256,5
7260,12253,5
7260,12257,5
7261,12244,5
7261,12247,5
7261,12249,5
7261,12252,5
7261,12256,5
7261,12253,5
7261,12257,5
7261,12258,5
7261,12259,5
7261,12260,5
7262,12245,5
7262,12261,5
7262,12246,5
7262,12247,5
7262,12249,5
7262,12262,5
7262,12263,5
7262,12254,5
7262,12253,5
7262,12264,5
7263,12245,5
7263,12246,5
7263,12247,5
7263,12248,5
7263,12249,5
7263,12256,5
7263,12253,5
7263,12265,5
7263,12266,5
7263,12267,5
7055,12268,5
7246,12151,5
7246,12269,5
7212,12270,5
7212,12271,5
7251,12272,5
7251,12273,5
7251,12274,5
7251,12275,5
7251,12276,5
7251,12277,5
7256,12278,5
7256,12279,5
7257,12280,5
7257,12281,5
7259,12266,5
7259,12282,5
7259,12283,5
7260,12266,5
7260,12282,5
7260,12283,5
7261,12266,5
7261,12282,5
7261,12283,5
7262,12266,5
7262,12282,5
7262,12283,5
7262,12284,5
7263,12282,5
7263,12283,5
7263,12284,5
7263,12285,5
7263,12286,5
7263,12287,5
7263,12288,5
7055,12289,5
7055,12290,5
7055,12291,5
7055,12292,5
7055,12293,5
119,7000,6
119,7001,6
119,7002,6
119,7003,6
113,7004,6
93,7005,6
93,7006,6
93,7007,6
5,7006,6
150,7008,6
75,7009,6
193,7010,6
193,7011,6
193,7012,6
135,7013,6
135,7014,6
135,7015,6
135,7016,6
135,7017,6
135,7018,6
135,7019,6
135,7020,6
135,7021,6
135,7022,6
217,7023,6
217,7024,6
217,7025,6
217,7026,6
217,7027,6
217,7028,6
217,7013,6
217,7016,6
217,7014,6
217,7029,6
138,7030,6
138,7031,6
138,7032,6
138,7033,6
103,7034,6
59,7035,6
59,7036,6
59,7037,6
59,7038,6
59,7039,6
59,7040,6
59,7041,6
59,7042,6
74,7043,6
74,7044,6
74,7000,6
74,7001,6
74,7045,6
74,7046,6
74,7047,6
188,7048,6
188,7049,6
188,7000,6
188,7050,6
188,7051,6
188,7001,6
188,7045,6
188,7052,6
188,7053,6
188,7002,6
214,7054,6
214,7000,6
214,7001,6
214,7045,6
151,7055,6
8,7052,6
8,7001,6
8,7048,6
8,7049,6
8,7000,6
8,7002,6
8,7056,6
8,7045,6
8,7050,6
8,7051,6
94,7055,6
102,7055,6
196,7059,6
196,7060,6
196,7061,6
173,7059,6
125,7060,6
17,7060,6
120,7059,6
147,7027,6
147,7022,6
147,7028,6
147,7062,6
26,7062,6
26,7063,6
26,7064,6
26,7065,6
26,7066,6
26,7029,6
26,7067,6
26,7068,6
26,7027,6
26,7015,6
145,7069,6
145,7070,6
145,7071,6
145,7072,6
145,7073,6
145,7074,6
145,7075,6
145,7076,6
145,7077,6
187,7078,6
6,7079,6
16,7016,6
16,7013,6
16,7014,6
16,7080,6
16,7081,6
16,7082,6
16,7022,6
16,7027,6
16,7028,6
16,7083,6
114,7084,6
114,7085,6
114,7086,6
108,7087,6
108,7088,6
155,7089,6
155,7090,6
155,7091,6
155,7092,6
155,7093,6
155,7087,6
155,7094,6
155,7095,6
155,7096,6
155,7088,6
96,7030,6
96,7031,6
96,7032,6
96,7097,6
168,7098,6
168,7099,6
168,7100,6
168,7101,6
168,7102,6
168,7030,6
168,7031,6
168,7097,6
168,7103,6
168,7032,6
27,7101,6
27,7032,6
27,7097,6
27,7103,6
203,7059,6
28,7059,6
28,7104,6
28,7105,6
40,7106,6
29,7107,6
77,7108,6
77,7109,6
77,7110,6
77,7111,6
77,7112,6
77,7113,6
77,7114,6
192,7115,6
192,7116,6
192,7117,6
192,7118,6
192,7119,6
192,7120,6
192,7121,6
197,7122,6
197,7123,6
197,7124,6
197,7125,6
197,7126,6
